This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
  150.10    19.2BLEND
  152.15    51.4NI XII
  152.84     3.3BLEND
  154.20    29.9NI XII
  157.73    30.7NI XIII
  158.38    10.6NI X
  159.94     9.8NI X
  164.13    24.4NI XIV
  167.50    21.4FE VIII
  168.17    39.6FE VIII
  168.55    22.4FE VIII
  168.92    13.8FE VIII
  169.70    28.4UNSPEC'D
  171.06   438.0FE IX
  172.12     9.6 O V
  172.92    12.4BLEND
  173.10    26.6BLEND
  174.53   389.0FE X
  175.24    40.3BLEND
  175.47    11.7BLEND
  177.22   207.0FE X
  178.02    18.2BLEND
  179.74    18.4FE XI
  180.40   353.0FE XI
  180.71    18.5BLEND
  181.14    25.0FE XI
  182.16    66.0FE XI
  182.39     9.3BLEND
  183.91     6.6BLEND
  184.10    12.3BLEND
  184.52   103.7FE X
  184.76     9.4BLEND
  185.21    44.5FE VIII
  186.60    25.8BLEND
  186.87    70.0BLEND
  188.23   191.0BLEND
  188.70    15.4BLEND
  190.00    48.0FE X
  191.29    22.5 S XI
  192.38    64.0FE XII
  192.80    76.8FE XI
  193.50   132.0FE XII
  195.14   174.0FE XII
  196.63    45.3FE XIII
  197.41    18.2FE XIII
  198.53    23.3BLEND
  200.00    37.9FE XIII
  201.10    66.0FE XIII
  202.00    96.0UNSPEC'D
  202.64    20.7BLEND
  203.78    39.0FE XIII
  204.89    30.3FE XIII
  206.26      .9UNSPEC'D
  206.38      .9UNSPEC'D
  207.46      .9UNSPEC'D
  208.33      .9UNSPEC'D
  209.63      .9UNSPEC'D
  209.78      .9UNSPEC'D
  209.93    32.0UNSPEC'D
  211.32    54.0FE XIV
  212.15    11.8 S XII
  214.75     7.6SI VIII
  215.16    21.7 S XII
  216.90    32.8SI VIII
  217.00    51.0UNSPEC'D
  218.21    65.0 S XII
  219.09    12.0FE XIV
  220.08    17.0FE XIV
  221.26    14.5BLEND
  221.51    20.1 S XII
  223.26    10.1BLEND
  223.72    27.0SI IX
  224.81    37.4BLEND
  225.12    51.0BLEND
  227.01    90.3SI IX
  227.47    29.8 S XII
  228.79    18.4BLEND
  230.65    10.5HE II
  231.55    12.8HE II
  232.60    18.7HE II
  233.84    12.7FE XV
  234.38    82.6BLEND
  235.55     5.9SI VIII
  237.36    44.2HE II
  239.87    16.9 S XI
  240.73    66.7FE XIII
  241.80   111.0UNSPEC'D
  243.03   110.2HE II
  243.86    75.0UNSPEC'D
  244.92    55.0UNSPEC'D
  245.94    14.9BLEND
  246.24    88.0BLEND
  246.91    18.7BLEND
  247.18    19.9BLEND
  249.23    40.2NI XVII
  251.1      9.6FE XVI
  251.96   149.7FE XIII
  252.17    59.7BLEND
  253.80    32.0SI X
  256.37   516.4BLEND
  256.69   113.8BLEND
  257.48    60.0BLEND
  258.40   175.7SI X
  259.50    68.0 S X
  261.08    89.4SI X
  262.99    14.6FE XVI
  264.27    65.2 S X
  264.80   240.0FE XIV
  270.50   141.7FE XIV
  271.99    75.3SI X
  272.70     9.6SI VII
  274.24   301.1FE XIV
  275.35    27.7SI VII
  275.76     4.2SI VII
  276.15     5.6MG VII
  276.77     7.0BLEND
  277.00    44.6BLEND
  277.27    65.6BLEND
  278.40    33.6MG VII
  281.41    32.6 S XI
  284.15   210.0FE XV
  285.85    23.0BLEND
  288.36    34.9BLEND
  289.17    18.9FE XIV
  290.72    30.7SI IX
  291.63    12.5 S XI
  292.00    20.6NI XVIII
  292.83    63.4SI IX
  295.57    20.8BLEND
  296.17    94.0SI IX
  299.50     9.8 S XII
  303.78  7700.0HE II
  315.02    10.0MG VIII
  315.05    10.0 N IV
  316.20    10.0SI VIII
  319.83    10.0SI VIII
  335.05    10.0 N IV
  335.39   150.0FE XVI
  345.13    10.0SI IX
  345.74    10.0FE X
  347.42    10.0SI X
  349.85    10.0SI IX
  353.86    10.0MG VIII
  356.07    10.0SI X
  360.76   320.0FE XVI
  364.80   150.0UNSPEC'D
  368.07   650.0MG IX
  401.70    60.0NE VI
  405.00      .1HE I (C)
  406.00      .1HE I (C)
  407.00      .1HE I (C)
  408.00      .1HE I (C)
  409.00      .1HE I (C)
  410.00      .1HE I (C)
  411.00      .1HE I (C)
  412.00      .1HE I (C)
  413.00      .2HE I (C)
  414.00      .2HE I (C)
  415.00      .2HE I (C)
  416.00      .2HE I (C)
  417.00      .2HE I (C)
  417.24    18.0FE XV
  417.71    60.0 S XIV
  418.00      .2HE I (C)
  419.00      .2HE I (C)
  420.00      .2HE I (C)
  421.00      .2HE I (C)
  422.00      .2HE I (C)
  423.00      .3HE I (C)
  424.00      .3HE I (C)
  425.00      .3HE I (C)
  426.00      .3HE I (C)
  427.00      .3HE I (C)
  428.00      .3HE I (C)
  429.00      .4HE I (C)
  430.00      .4HE I (C)
  430.50    30.0MG VIII
  431.00      .4HE I (C)
  432.00      .4HE I (C)
  433.00      .4HE I (C)
  434.00      .5HE I (C)
  435.00      .5HE I (C)
  436.00      .5HE I (C)
  436.10    50.0BLEND(2)
  437.00      .5HE I (C)
  438.00      .6HE I (C)
  439.00      .6HE I (C)
  440.00      .6HE I (C)
  441.00      .7HE I (C)
  442.00      .7HE I (C)
  443.00      .7HE I (C)
  444.00      .8HE I (C)
  445.00      .8HE I (C)
  446.00      .9HE I (C)
  447.00      .9HE I (C)
  448.00     1.0HE I (C)
  449.00     1.0HE I (C)
  450.00     1.1HE I (C)
  451.00     1.1HE I (C)
  452.00     1.2HE I (C)
  453.00     1.3HE I (C)
  454.00     1.3HE I (C)
  455.00     1.4HE I (C)
  456.00     1.5HE I (C)
  457.00     1.6HE I (C)
  458.00     1.6HE I (C)
  459.00     1.7HE I (C)
  460.00     1.8HE I (C)
  461.00     1.9HE I (C)
  462.00     2.0HE I (C)
  463.00     2.1HE I (C)
  464.00     2.2HE I (C)
  465.00     2.4HE I (C)
  465.22   270.0NE VII
  466.00     2.5HE I (C)
  467.00     2.6HE I (C)
  468.00     2.8HE I (C)
  469.00     2.9HE I (C)
  469.80    10.0NE IV
  470.00     3.1HE I (C)
  471.00     3.2HE I (C)
  472.00     3.4HE I (C)
  473.00     3.6HE I (C)
  474.00     3.8HE I (C)
  475.00     4.0HE I (C)
  476.00     4.2HE I (C)
  477.00     4.4HE I (C)
  478.00     4.7HE I (C)
  479.00     4.9HE I (C)
  480.00     5.2HE I (C)
  481.00     5.4HE I (C)
  482.00     5.7HE I (C)
  482.10    10.0NE V
  483.00     6.0HE I (C)
  484.00     6.4HE I (C)
  485.00     6.7HE I (C)
  486.00     7.1HE I (C)
  487.00     7.4HE I (C)
  488.00     7.8HE I (C)
  489.00     8.2HE I (C)
  489.50    10.0NE III
  490.00     8.7HE I (C)
  491.00     9.2HE I (C)
  492.00     9.6HE I (C)
  493.00    10.2HE I (C)
  494.00    10.7HE I (C)
  495.00    11.3HE I (C)
  496.00    11.9HE I (C)
  497.00    12.5HE I (C)
  498.00    13.2HE I (C)
  499.00    13.9HE I (C)
  499.27   100.0SI XII
  500.00    14.6HE I (C)
  501.00    15.4HE I (C)
  502.00    16.2HE I (C)
  503.00    17.1HE I (C)
  504.00    18.0HE I (C)
  507.90   160.0 O III
  515.60    10.0HE I
  521.10    60.0SI XII
  525.80    15.2 O III
  537.03   140.7HE I
  542.80    15.9NE IV
  550.00    16.1AL XI
  554.51   720.0 O IV
  558.60    16.5NE VI
  562.80    16.6NE VI
  568.50    16.9BLEND(2)
  572.30    17.0NE V
  580.40    17.3 O II
  584.33  1270.0HE I
  599.60   160.0 O III
  608.00      .2 H LY(C)
  609.00      .2 H LY(C)
  609.85   530.0MG X
  610.00      .2 H LY(C)
  611.00      .2 H LY(C)
  612.00      .2 H LY(C)
  613.00      .2 H LY(C)
  614.00      .2 H LY(C)
  615.00      .2 H LY(C)
  616.00      .2 H LY(C)
  616.60    15.7 O II
  617.00      .2 H LY(C)
  618.00      .2 H LY(C)
  619.00      .2 H LY(C)
  620.00      .2 H LY(C)
  621.00      .2 H LY(C)
  622.00      .2 H LY(C)
  623.00      .2 H LY(C)
  624.00      .3 H LY(C)
  625.00      .3 H LY(C)
  625.28   210.0MG X
  626.00      .3 H LY(C)
  627.00      .3 H LY(C)
  628.00      .3 H LY(C)
  629.00      .3 H LY(C)
  629.73  1520.0 O V
  630.00      .3 H LY(C)
  631.00      .2 H LY(C)
  632.00      .2 H LY(C)
  633.00      .2 H LY(C)
  634.00      .2 H LY(C)
  635.00      .2 H LY(C)
  636.00      .2 H LY(C)
  637.00      .2 H LY(C)
  638.00      .2 H LY(C)
  639.00      .2 H LY(C)
  640.00      .2 H LY(C)
  641.00      .2 H LY(C)
  642.00      .2 H LY(C)
  643.00      .2 H LY(C)
  644.00      .3 H LY(C)
  644.10    11.0 O II
  645.00      .3 H LY(C)
  646.00      .3 H LY(C)
  647.00      .3 H LY(C)
  648.00      .3 H LY(C)
  649.00      .3 H LY(C)
  650.00      .3 H LY(C)
  651.00      .3 H LY(C)
  652.00      .3 H LY(C)
  653.00      .3 H LY(C)
  654.00      .3 H LY(C)
  655.00      .3 H LY(C)
  656.00      .3 H LY(C)
  657.00      .4 H LY(C)
  657.30    11.0 S IV
  658.00      .4 H LY(C)
  659.00      .4 H LY(C)
  660.00      .4 H LY(C)
  661.00      .4 H LY(C)
  661.40    11.0 S IV
  662.00      .4 H LY(C)
  663.00      .4 H LY(C)
  664.00      .4 H LY(C)
  665.00      .4 H LY(C)
  666.00      .4 H LY(C)
  667.00      .6 H LY(C)
  668.00      .6 H LY(C)
  669.00      .6 H LY(C)
  670.00      .6 H LY(C)
  671.00      .6 H LY(C)
  671.50    11.0 N II
  672.00      .6 H LY(C)
  673.00      .6 H LY(C)
  674.00      .6 H LY(C)
  675.00      .7 H LY(C)
  676.00      .7 H LY(C)
  677.00      .7 H LY(C)
  678.00      .7 H LY(C)
  679.00      .7 H LY(C)
  680.00      .7 H LY(C)
  680.94    11.0 S V
  681.00      .8 H LY(C)
  681.70    11.0NA IX
  682.00      .8 H LY(C)
  683.00      .8 H LY(C)
  684.00      .8 H LY(C)
  685.00      .8 H LY(C)
  685.70    66.0 N III
  686.00      .8 H LY(C)
  687.00      .9 H LY(C)
  688.00      .9 H LY(C)
  689.00      .9 H LY(C)
  690.00      .9 H LY(C)
  691.00      .9 H LY(C)
  692.00     1.0 H LY(C)
  693.00     1.0 H LY(C)
  694.00     1.0 H LY(C)
  694.30    11.0NA IX
  695.00     1.0 H LY(C)
  696.00     1.1 H LY(C)
  697.00     1.1 H LY(C)
  698.00     1.1 H LY(C)
  699.00     1.1 H LY(C)
  700.00     1.2 H LY(C)
  701.00     1.2 H LY(C)
  702.00     1.2 H LY(C)
  703.00     1.3 H LY(C)
  703.40    66.0 O III
  704.00     1.3 H LY(C)
  705.00     1.3 H LY(C)
  706.00     1.3 H LY(C)
  707.00     1.4 H LY(C)
  708.00     1.4 H LY(C)
  709.00     1.4 H LY(C)
  710.00     1.5 H LY(C)
  711.00     1.5 H LY(C)
  712.00     1.5 H LY(C)
  712.70    11.0 S VI
  713.00     1.7 H LY(C)
  714.00     1.7 H LY(C)
  715.00     1.8 H LY(C)
  716.00     1.8 H LY(C)
  717.00     1.8 H LY(C)
  718.00     1.9 H LY(C)
  718.50    11.0 O II
  719.00     1.9 H LY(C)
  720.00     2.0 H LY(C)
  721.00     2.0 H LY(C)
  722.00     2.1 H LY(C)
  723.00     2.1 H LY(C)
  724.00     2.2 H LY(C)
  725.00     2.2 H LY(C)
  726.00     2.3 H LY(C)
  727.00     2.3 H LY(C)
  728.00     2.4 H LY(C)
  729.00     2.4 H LY(C)
  730.00     2.5 H LY(C)
  731.00     2.5 H LY(C)
  732.00     2.6 H LY(C)
  733.00     2.8 H LY(C)
  734.00     2.8 H LY(C)
  735.00     2.9 H LY(C)
  736.00     3.0 H LY(C)
  737.00     3.0 H LY(C)
  738.00     3.1 H LY(C)
  739.00     3.2 H LY(C)
  740.00     3.2 H LY(C)
  741.00     3.3 H LY(C)
  742.00     3.4 H LY(C)
  743.00     3.5 H LY(C)
  744.00     3.6 H LY(C)
  745.00     3.6 H LY(C)
  746.00     3.7 H LY(C)
  747.00     3.9 H LY(C)
  748.00     4.0 H LY(C)
  749.00     4.1 H LY(C)
  750.00     4.2 H LY(C)
  751.00     4.3 H LY(C)
  752.00     4.4 H LY(C)
  753.00     4.5 H LY(C)
  754.00     4.6 H LY(C)
  755.00     4.7 H LY(C)
  756.00     4.8 H LY(C)
  757.00     5.0 H LY(C)
  758.00     5.1 H LY(C)
  758.70    16.8 O V
  759.00     5.3 H LY(C)
  759.40    16.8 O V
  760.00     5.4 H LY(C)
  760.40    88.0 O V
  761.00     5.5 H LY(C)
  762.00     5.6 H LY(C)
  762.00    16.8 O V
  763.00     5.8 H LY(C)
  764.00     5.9 H LY(C)
  764.60   160.0BLEND(2)
  765.00     6.1 H LY(C)
  766.00     6.3 H LY(C)
  767.00     6.4 H LY(C)
  768.00     6.6 H LY(C)
  769.00     6.7 H LY(C)
  770.00     6.9 H LY(C)
  770.40   280.0BLEND( )
  771.00     7.2 H LY(C)
