This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
 1011.00    13.3 C I (C)
 1012.00    13.6 C I (C)
 1013.00    13.9 C I (C)
 1014.00    14.1 C I (C)
 1015.00    14.4 C I (C)
 1016.00    14.6 C I (C)
 1017.00    14.9 C I (C)
 1018.00    15.2 C I (C)
 1019.00    15.4 C I (C)
 1020.00    15.7 C I (C)
 1021.00    16.0 C I (C)
 1021.00    11.0UNSPEC'D
 1022.00    16.3 C I (C)
 1023.00    16.6 C I (C)
 1024.00    16.8 C I (C)
 1025.00    17.2 C I (C)
 1025.72  2650.0 H LY-2
 1026.00    17.5 C I (C)
 1027.00    17.8 C I (C)
 1028.00    18.2 C I (C)
 1029.00    18.5 C I (C)
 1030.00    18.8 C I (C)
 1031.00    19.1 C I (C)
 1031.91  2080.0 O VI
 1032.00    19.5 C I (C)
 1033.00    19.8 C I (C)
 1034.00    20.2 C I (C)
 1035.00    20.6 C I (C)
 1036.00    20.9 C I (C)
 1037.00    21.3 C I (C)
 1037.61  1440.0BLEND
 1038.00    21.7 C I (C)
 1039.00    22.1 C I (C)
 1040.00    22.6 C I (C)
 1041.00    22.9 C I (C)
 1042.00    23.3 C I (C)
 1043.00    23.8 C I (C)
 1044.00    24.2 C I (C)
 1045.00    24.6 C I (C)
 1046.00    25.1 C I (C)
 1047.00    25.5 C I (C)
 1048.00    26.0 C I (C)
 1049.00    26.4 C I (C)
 1050.00    27.0 C I (C)
 1051.00    27.4 C I (C)
 1052.00    27.9 C I (C)
 1053.00    28.4 C I (C)
 1054.00    28.9 C I (C)
 1055.00    29.5 C I (C)
 1056.00    30.0 C I (C)
 1057.00    30.6 C I (C)
 1058.00    31.1 C I (C)
 1059.00    31.7 C I (C)
 1060.00    32.2 C I (C)
 1061.00    32.8 C I (C)
 1062.00    33.4 C I (C)
 1062.70    55.0 S IV
 1063.00    34.0 C I (C)
 1064.00    34.7 C I (C)
 1065.00    35.2 C I (C)
 1066.00    35.9 C I (C)
 1067.00    36.5 C I (C)
 1068.00    37.2 C I (C)
 1069.00    37.8 C I (C)
 1070.00    38.5 C I (C)
 1071.00    39.3 C I (C)
 1072.00    39.9 C I (C)
 1073.00    40.7 C I (C)
 1074.00    41.5 C I (C)
 1075.00    42.1 C I (C)
 1076.00    42.9 C I (C)
 1077.00    43.7 C I (C)
 1077.10   110.0 S III
 1078.00    44.6 C I (C)
 1079.00    45.3 C I (C)
 1080.00    46.1 C I (C)
 1081.00    47.0 C I (C)
 1082.00    47.9 C I (C)
 1083.00    48.6 C I (C)
 1084.00    49.5 C I (C)
 1085.00    50.5 C I (C)
 1085.70   620.0 N II
 1086.00    51.4 C I (C)
 1087.00    52.3 C I (C)
 1088.00    53.2 C I (C)
 1089.00    54.2 C I (C)
 1090.00    55.2 C I (C)
 1091.00    56.2 C I (C)
 1092.00    57.2 C I (C)
 1093.00    58.2 C I (C)
 1094.00    59.3 C I (C)
 1095.00    60.4 C I (C)
 1096.00    61.5 C I (C)
 1097.00    62.6 C I (C)
 1098.00    63.7 C I (C)
 1099.00    64.8 C I (C)
 1100.00    66.0 C I (C)
 1101.00     8.9QUASI(C)
 1102.00     9.0QUASI(C)
 1103.00     9.1QUASI(C)
 1104.00     9.2QUASI(C)
 1105.00     9.4QUASI(C)
 1106.00     9.5QUASI(C)
 1107.00     9.6QUASI(C)
 1108.00     9.7QUASI(C)
 1109.00     9.8QUASI(C)
 1110.00     9.9QUASI(C)
 1111.00    10.1QUASI(C)
 1112.00    10.3QUASI(C)
 1113.00    10.6QUASI(C)
 1114.00    10.8QUASI(C)
 1115.00    11.0QUASI(C)
 1116.00    11.2QUASI(C)
 1117.00    11.4QUASI(C)
 1118.00    11.7QUASI(C)
 1119.00    11.9QUASI(C)
 1120.00    12.1QUASI(C)
 1121.00    12.7QUASI(C)
 1122.00    13.2QUASI(C)
 1122.50   290.0SI IV
 1123.00    13.8QUASI(C)
 1124.00    14.3QUASI(C)
 1125.00    14.9QUASI(C)
 1126.00    15.4QUASI(C)
 1127.00    16.0QUASI(C)
 1128.00    16.5QUASI(C)
 1128.30   360.0SI IV
 1129.00    17.1QUASI(C)
 1130.00    17.6QUASI(C)
 1131.00    18.7QUASI(C)
 1132.00    19.8QUASI(C)
 1133.00    20.9QUASI(C)
 1134.00    22.0QUASI(C)
 1135.00    23.1QUASI(C)
 1136.00    24.2QUASI(C)
 1137.00    25.3QUASI(C)
 1138.00    26.4QUASI(C)
 1139.00    27.5QUASI(C)
 1139.89   341.0 C I
 1140.00    28.6QUASI(C)
 1141.00    30.8QUASI(C)
 1142.00    33.0QUASI(C)
 1143.00    35.2QUASI(C)
 1144.00    37.4QUASI(C)
 1145.00    39.6QUASI(C)
 1146.00    41.8QUASI(C)
 1147.00    44.0QUASI(C)
 1148.00    46.2QUASI(C)
 1149.00    48.4QUASI(C)
 1150.00    50.6QUASI(C)
 1151.00    53.7QUASI(C)
 1152.00    56.8QUASI(C)
 1153.00    59.9QUASI(C)
 1154.00    62.9QUASI(C)
 1155.00    65.9QUASI(C)
 1156.00    68.9QUASI(C)
 1157.00    71.9QUASI(C)
 1158.00    74.8QUASI(C)
 1159.00    77.8QUASI(C)
 1160.00    80.7QUASI(C)
 1161.00    87.3QUASI(C)
 1162.00    93.8QUASI(C)
 1163.00   100.3QUASI(C)
 1164.00   106.7QUASI(C)
 1165.00   113.1QUASI(C)
 1166.00   119.4QUASI(C)
 1167.00   125.7QUASI(C)
 1168.00   131.9QUASI(C)
 1169.00   138.2QUASI(C)
 1170.00   144.2QUASI(C)
 1171.00   150.4QUASI(C)
 1172.00   156.4QUASI(C)
 1173.00   162.4QUASI(C)
 1174.00   168.3QUASI(C)
 1175.00   174.2QUASI(C)
 1175.70  2000.0 C III
 1176.00   180.0QUASI(C)
 1177.00   185.8QUASI(C)
 1178.00   191.5QUASI(C)
 1179.00   197.2QUASI(C)
 1180.00   202.8QUASI(C)
 1181.00   212.7QUASI(C)
 1182.00   222.5QUASI(C)
 1183.00   232.3QUASI(C)
 1184.00   241.9QUASI(C)
 1185.00   251.5QUASI(C)
 1186.00   260.9QUASI(C)
 1187.00   270.3QUASI(C)
 1188.00   279.6QUASI(C)
 1189.00   288.9QUASI(C)
 1190.00   298.0QUASI(C)
 1191.00   307.1QUASI(C)
 1192.00   316.1QUASI(C)
 1193.00   325.0QUASI(C)
 1194.00   333.8QUASI(C)
 1195.00   342.5QUASI(C)
 1196.00   351.1QUASI(C)
 1197.00   359.6QUASI(C)
 1198.00   368.1QUASI(C)
 1199.00   376.5QUASI(C)
 1200.00   384.8QUASI(C)
 1201.00   399.5QUASI(C)
 1202.00   413.9QUASI(C)
 1203.00   428.3QUASI(C)
 1204.00   442.5QUASI(C)
 1205.00   456.6QUASI(C)
 1206.00   449.1QUASI(C)
 1206.52  3960.0SI III
 1207.00   441.5QUASI(C)
 1208.00   434.0QUASI(C)
 1209.00   426.6QUASI(C)
 1210.00   419.2QUASI(C)
 1211.00   411.9QUASI(C)
 1212.00   404.7QUASI(C)
 1213.00   397.4QUASI(C)
 1214.00   390.2QUASI(C)
 1215.00   383.1QUASI(C)
 1215.67251000.0 H LY-1
 1216.00   376.1QUASI(C)
 1217.00   369.0QUASI(C)
 1218.00   362.0QUASI(C)
 1219.00   355.1QUASI(C)
 1220.00   348.2QUASI(C)
 1221.00   341.4QUASI(C)
 1222.00   334.6QUASI(C)
 1223.00   327.8QUASI(C)
 1224.00   321.1QUASI(C)
 1225.00   314.5QUASI(C)
 1226.00   307.9QUASI(C)
 1227.00   301.4QUASI(C)
 1228.00   294.8QUASI(C)
 1229.00   288.4QUASI(C)
 1230.00   282.0QUASI(C)
 1231.00   274.0QUASI(C)
 1232.00   265.9QUASI(C)
 1233.00   258.0QUASI(C)
 1234.00   250.1QUASI(C)
 1235.00   242.3QUASI(C)
 1236.00   234.6QUASI(C)
 1237.00   226.9QUASI(C)
 1238.00   219.3QUASI(C)
 1238.80   473.0 N V
 1239.00   211.8QUASI(C)
 1240.00   204.2QUASI(C)
 1241.00   198.4QUASI(C)
 1242.00   192.6QUASI(C)
 1242.78   319.0 N V
 1243.00   186.9QUASI(C)
 1244.00   181.1QUASI(C)
 1245.00   175.5QUASI(C)
 1246.00   170.0QUASI(C)
 1247.00   164.4QUASI(C)
 1248.00   158.9QUASI(C)
 1249.00   153.4QUASI(C)
 1250.00   148.0QUASI(C)
 1251.00   142.7QUASI(C)
 1252.00   137.4QUASI(C)
 1253.00   132.2QUASI(C)
 1254.00   126.9QUASI(C)
 1255.00   121.8QUASI(C)
 1256.00   116.7QUASI(C)
 1257.00   111.6QUASI(C)
 1258.00   106.6QUASI(C)
 1259.00   101.6QUASI(C)
 1260.00    96.8QUASI(C)
 1260.66   253.0SI II
 1261.00    93.6QUASI(C)
 1262.00    90.4QUASI(C)
 1263.00    87.3QUASI(C)
 1264.00    84.2QUASI(C)
 1265.00    81.1QUASI(C)
 1265.04   506.0SI II
 1266.00    78.1QUASI(C)
 1267.00    75.1QUASI(C)
 1268.00    72.2QUASI(C)
 1269.00    69.2QUASI(C)
 1270.00    66.3QUASI(C)
 1271.00    63.4QUASI(C)
 1272.00    61.8QUASI(C)
 1273.00    60.2QUASI(C)
 1274.00    58.5QUASI(C)
 1275.00    56.9QUASI(C)
 1276.00    55.4QUASI(C)
 1277.00    53.8QUASI(C)
 1278.00    52.2QUASI(C)
 1279.00    50.7QUASI(C)
 1280.00    51.1QUASI(C)
 1281.00    51.5QUASI(C)
 1282.00    51.9QUASI(C)
 1283.00    52.4QUASI(C)
 1284.00    52.8QUASI(C)
 1285.00    53.3QUASI(C)
 1286.00    53.7QUASI(C)
 1287.00    54.2QUASI(C)
 1288.00    54.6QUASI(C)
 1289.00    55.1QUASI(C)
 1290.00    55.6QUASI(C)
 1291.00    56.0QUASI(C)
 1292.00    56.5QUASI(C)
 1293.00    57.0QUASI(C)
 1294.00    57.5QUASI(C)
 1295.00    58.0QUASI(C)
 1296.00    58.5QUASI(C)
 1297.00    59.0QUASI(C)
 1298.00    59.5QUASI(C)
 1299.00    60.0QUASI(C)
 1300.00    60.5QUASI(C)
 1301.00    61.0QUASI(C)
 1302.00    61.5QUASI(C)
 1302.17   594.0 O I
 1303.00    62.0QUASI(C)
 1304.00    62.5QUASI(C)
 1304.86  1445.7 O I
 1305.00    63.1QUASI(C)
 1306.00    63.6QUASI(C)
 1306.02  1808.7 O I
 1307.00    64.2QUASI(C)
 1308.00    64.7QUASI(C)
 1309.00    65.2QUASI(C)
 1309.30   145.1SI II
 1310.00    65.8QUASI(C)
 1311.00    66.4QUASI(C)
 1312.00    66.9QUASI(C)
 1313.00    67.5QUASI(C)
 1314.00    68.1QUASI(C)
 1315.00    68.6QUASI(C)
 1316.00    69.2QUASI(C)
 1317.00    69.8QUASI(C)
 1318.00    70.4QUASI(C)
 1319.00    71.0QUASI(C)
 1320.00    71.6QUASI(C)
 1321.00    72.2QUASI(C)
 1322.00    72.8QUASI(C)
 1323.00    73.4QUASI(C)
 1324.00    74.0QUASI(C)
 1325.00    74.7QUASI(C)
 1326.00    75.3QUASI(C)
 1327.00    75.9QUASI(C)
 1328.00    76.6QUASI(C)
 1329.00    77.2QUASI(C)
 1330.00    77.9QUASI(C)
 1331.00    78.6QUASI(C)
 1332.00    79.2QUASI(C)
 1333.00    79.9QUASI(C)
 1334.00    80.6QUASI(C)
 1334.51  3696.3 C II
 1335.00    81.3QUASI(C)
 1335.68  3699.5 C II
 1336.00    81.9QUASI(C)
 1337.00    82.6QUASI(C)
 1338.00    83.3QUASI(C)
 1339.00    84.0QUASI(C)
 1340.00    84.8QUASI(C)
 1341.00    85.5QUASI(C)
 1342.00    86.2QUASI(C)
 1343.00    86.9QUASI(C)
 1344.00    87.7QUASI(C)
 1345.00    88.4QUASI(C)
 1346.00    89.2QUASI(C)
 1347.00    89.9QUASI(C)
 1348.00    90.7QUASI(C)
 1349.00    91.4QUASI(C)
 1350.00    92.2QUASI(C)
 1351.00    93.0QUASI(C)
 1352.00    93.8QUASI(C)
 1353.00    94.6QUASI(C)
 1354.00    95.4QUASI(C)
 1355.00    96.2QUASI(C)
 1356.00    97.0QUASI(C)
 1356.70   601.3 O I
 1357.00    97.8QUASI(C)
 1358.00    98.7QUASI(C)
 1359.00    99.5QUASI(C)
 1360.00   100.3QUASI(C)
 1361.00   101.2QUASI(C)
 1362.00   102.0QUASI(C)
 1363.00   102.9QUASI(C)
 1364.00   103.8QUASI(C)
 1365.00   104.7QUASI(C)
 1366.00   105.5QUASI(C)
 1367.00   106.4QUASI(C)
 1368.00   107.3QUASI(C)
 1369.00   108.3QUASI(C)
 1370.00   109.2QUASI(C)
 1371.00   110.1QUASI(C)
 1372.00   111.0QUASI(C)
 1373.00   112.0QUASI(C)
 1374.00   112.9QUASI(C)
 1375.00   113.9QUASI(C)
 1376.00   114.8QUASI(C)
 1377.00   115.8QUASI(C)
 1378.00   116.8QUASI(C)
 1379.00   117.8QUASI(C)
 1380.00   118.8QUASI(C)
 1381.00   119.8QUASI(C)
 1382.00   120.8QUASI(C)
 1383.00   121.8QUASI(C)
 1384.00   122.9QUASI(C)
 1385.00   123.9QUASI(C)
 1386.00   125.0QUASI(C)
 1387.00   126.0QUASI(C)
 1388.00   127.1QUASI(C)
 1389.00   128.2QUASI(C)
 1390.00   129.2QUASI(C)
 1391.00   130.3QUASI(C)
 1392.00   131.4QUASI(C)
 1393.00   132.6QUASI(C)
 1393.73  2526.7SI IV
 1394.00   133.7QUASI(C)
 1395.00   134.8QUASI(C)
 1396.00   136.0QUASI(C)
 1397.00   137.1QUASI(C)
 1398.00   138.3QUASI(C)
 1399.00   139.4QUASI(C)
 1400.00   140.6QUASI(C)
 1401.00   141.8QUASI(C)
 1402.00   143.0QUASI(C)
 1402.73  1102.0SI IV
 1403.00   144.2QUASI(C)
 1404.00   145.4QUASI(C)
 1405.00   146.7QUASI(C)
 1406.00   147.9QUASI(C)
 1407.00   149.2QUASI(C)
 1408.00   150.4QUASI(C)
 1409.00   151.7QUASI(C)
 1410.00   153.0QUASI(C)
 1411.00   154.3QUASI(C)
 1412.00   155.6QUASI(C)
 1413.00   156.9QUASI(C)
 1414.00   158.3QUASI(C)
 1415.00   159.6QUASI(C)
 1416.00   160.9QUASI(C)
 1417.00   162.3QUASI(C)
 1418.00   163.7QUASI(C)
 1419.00   165.1QUASI(C)
 1420.00   166.5QUASI(C)
 1421.00   167.9QUASI(C)
 1422.00   169.3QUASI(C)
 1423.00   170.7QUASI(C)
 1424.00   172.2QUASI(C)
 1425.00   173.6QUASI(C)
 1426.00   175.1QUASI(C)
 1427.00   176.6QUASI(C)
 1428.00   178.1QUASI(C)
 1429.00   179.6QUASI(C)
 1430.00   181.1QUASI(C)
 1431.00   182.7QUASI(C)
 1432.00   184.2QUASI(C)
 1433.00   185.8QUASI(C)
 1434.00   187.4QUASI(C)
 1435.00   188.9QUASI(C)
 1436.00   190.5QUASI(C)
 1437.00   192.2QUASI(C)
 1438.00   193.8QUASI(C)
 1439.00   195.4QUASI(C)
 1440.00   197.1QUASI(C)
 1441.00   198.8QUASI(C)
 1442.00   200.4QUASI(C)
 1443.00   202.1QUASI(C)
 1444.00   203.8QUASI(C)
 1445.00   205.6QUASI(C)
 1446.00   207.3QUASI(C)
 1447.00   209.1QUASI(C)
 1448.00   210.8QUASI(C)
 1449.00   212.6QUASI(C)
 1450.00   214.4QUASI(C)
 1451.00   216.3QUASI(C)
 1452.00   218.1QUASI(C)
 1453.00   219.9QUASI(C)
 1454.00   221.8QUASI(C)
 1455.00   223.7QUASI(C)
 1456.00   225.6QUASI(C)
 1457.00   227.5QUASI(C)
 1458.00   229.4QUASI(C)
 1459.00   231.4QUASI(C)
 1460.00   233.3QUASI(C)
 1461.00   235.3QUASI(C)
 1462.00   237.3QUASI(C)
 1463.00   239.3QUASI(C)
 1464.00   241.3QUASI(C)
 1465.00   243.4QUASI(C)
 1466.00   245.4QUASI(C)
 1467.00   247.5QUASI(C)
 1468.00   249.6QUASI(C)
 1469.00   251.7QUASI(C)
 1470.00   253.9QUASI(C)
 1471.00   256.0QUASI(C)
 1472.00   258.2QUASI(C)
 1473.00   260.4QUASI(C)
 1474.00   262.6QUASI(C)
 1475.00   264.8QUASI(C)
 1476.00   267.0QUASI(C)
 1477.00   269.3QUASI(C)
 1478.00   271.6QUASI(C)
 1479.00   273.9QUASI(C)
 1480.00   276.2QUASI(C)
 1481.00   278.6QUASI(C)
 1482.00   280.9QUASI(C)
 1483.00   283.3QUASI(C)
 1484.00   285.7QUASI(C)
 1485.00   288.1QUASI(C)
 1486.00   290.6QUASI(C)
 1487.00   293.0QUASI(C)
 1488.00   295.5QUASI(C)
 1489.00   298.0QUASI(C)
 1490.00   300.5QUASI(C)
 1491.00   303.1QUASI(C)
 1492.00   305.7QUASI(C)
 1493.00   308.2QUASI(C)
 1494.00   310.9QUASI(C)
 1495.00   313.5QUASI(C)
 1496.00   316.1QUASI(C)
 1497.00   318.8QUASI(C)
 1498.00   321.5QUASI(C)
 1499.00   324.3QUASI(C)
 1500.00   327.0QUASI(C)
 1501.00   329.8QUASI(C)
 1502.00   332.6QUASI(C)
 1503.00   335.4QUASI(C)
 1504.00   338.2QUASI(C)
 1505.00   341.1QUASI(C)
 1506.00   344.0QUASI(C)
 1507.00   346.9QUASI(C)
 1508.00   349.8QUASI(C)
 1509.00   352.8QUASI(C)
 1510.00   355.8QUASI(C)
 1511.00   358.8QUASI(C)
 1512.00   361.9QUASI(C)
 1513.00   364.9QUASI(C)
 1514.00   368.0QUASI(C)
 1515.00   371.1QUASI(C)
 1516.00   374.3QUASI(C)
 1517.00   377.4QUASI(C)
 1518.00   380.6QUASI(C)
 1519.00   383.9QUASI(C)
 1520.00   387.1QUASI(C)
 1521.00   390.4QUASI(C)
 1522.00   393.7QUASI(C)
 1523.00   397.1QUASI(C)
 1524.00   400.4QUASI(C)
 1525.00   403.8QUASI(C)
 1526.00   407.2QUASI(C)
 1526.72  3798.2SI II
 1527.00   410.7QUASI(C)
 1528.00   414.2QUASI(C)
 1529.00   417.7QUASI(C)
 1530.00   421.2QUASI(C)
 1531.00   424.8QUASI(C)
 1532.00   428.4QUASI(C)
 1533.00   432.0QUASI(C)
 1533.44  4116.1SI II
 1534.00   435.7QUASI(C)
 1535.00   439.4QUASI(C)
 1536.00   443.1QUASI(C)
 1537.00   446.8QUASI(C)
 1538.00   450.6QUASI(C)
 1539.00   454.4QUASI(C)
 1540.00   458.3QUASI(C)
 1541.00   462.2QUASI(C)
 1542.00   466.1QUASI(C)
 1543.00   470.1QUASI(C)
 1544.00   474.0QUASI(C)
 1545.00   478.1QUASI(C)
 1546.00   482.1QUASI(C)
 1547.00   486.2QUASI(C)
 1548.00   490.3QUASI(C)
 1548.19 11149.3 C IV
 1549.00   494.5QUASI(C)
 1550.00   498.7QUASI(C)
 1550.77  6091.5 C IV
 1551.00   502.9QUASI(C)
 1552.00   507.1QUASI(C)
 1553.00   511.4QUASI(C)
 1554.00   515.8QUASI(C)
 1555.00   520.1QUASI(C)
 1556.00   524.6QUASI(C)
 1557.00   529.0QUASI(C)
 1558.00   533.5QUASI(C)
 1559.00   538.0QUASI(C)
 1560.00   542.6QUASI(C)
 1561.00   547.2QUASI(C)
 1561.40  9200.0 C I
 1562.00   551.8QUASI(C)
 1563.00   556.5QUASI(C)
 1564.00   561.2QUASI(C)
 1565.00   565.9QUASI(C)
 1566.00   570.7QUASI(C)
 1567.00   575.6QUASI(C)
 1568.00   580.5QUASI(C)
 1569.00   585.4QUASI(C)
 1570.00   590.3QUASI(C)
 1571.00   595.3QUASI(C)
 1572.00   600.4QUASI(C)
 1573.00   605.5QUASI(C)
 1574.00   610.6QUASI(C)
 1575.00   615.8QUASI(C)
 1576.00   621.0QUASI(C)
 1577.00   626.3QUASI(C)
 1578.00   631.6QUASI(C)
 1579.00   636.9QUASI(C)
 1580.00   642.3QUASI(C)
 1581.00   647.8QUASI(C)
 1582.00   653.3QUASI(C)
 1583.00   658.8QUASI(C)
 1584.00   664.4QUASI(C)
 1585.00   670.0QUASI(C)
 1586.00   675.7QUASI(C)
 1587.00   681.4QUASI(C)
 1588.00   687.2QUASI(C)
 1588.30  2639.6FE II
 1589.00   693.0QUASI(C)
 1590.00   698.9QUASI(C)
 1591.00   704.8QUASI(C)
 1592.00   710.8QUASI(C)
 1593.00   716.8QUASI(C)
 1594.00   722.9QUASI(C)
 1595.00   729.0QUASI(C)
 1596.00   735.2QUASI(C)
 1597.00   741.4QUASI(C)
 1598.00   747.7QUASI(C)
 1599.00   754.0QUASI(C)
 1600.00   760.4QUASI(C)
 1601.00   766.9QUASI(C)
 1602.00   773.4QUASI(C)
 1603.00   779.9QUASI(C)
 1604.00   786.5QUASI(C)
 1605.00   793.2QUASI(C)
 1606.00   799.9QUASI(C)
 1607.00   806.7QUASI(C)
 1608.00   813.5QUASI(C)
 1609.00   820.4QUASI(C)
 1610.00   827.4QUASI(C)
 1611.00   834.4QUASI(C)
 1612.00   841.5QUASI(C)
 1613.00   848.6QUASI(C)
 1614.00   855.8QUASI(C)
 1615.00   863.0QUASI(C)
 1616.00   870.3QUASI(C)
 1617.00   877.7QUASI(C)
 1618.00   885.2QUASI(C)
 1619.00   892.7QUASI(C)
 1620.00   900.2QUASI(C)
 1621.00   914.7QUASI(C)
 1622.00   929.5QUASI(C)
 1623.00   944.6QUASI(C)
 1624.00   959.9QUASI(C)
 1625.00   975.5QUASI(C)
 1626.00   991.3QUASI(C)
 1627.00  1007.4QUASI(C)
 1628.00  1023.8QUASI(C)
 1629.00  1040.4QUASI(C)
 1630.00  1057.3QUASI(C)
 1631.00  1074.4QUASI(C)
 1632.00  1091.8QUASI(C)
 1633.00  1109.6QUASI(C)
 1634.00  1127.6QUASI(C)
 1635.00  1145.8QUASI(C)
 1636.00  1164.4QUASI(C)
 1637.00  1183.3QUASI(C)
 1638.00  1202.5QUASI(C)
 1639.00  1222.0QUASI(C)
 1640.00  1241.9QUASI(C)
 1640.47  4626.4HE II
 1641.00  1262.0QUASI(C)
 1642.00  1282.5QUASI(C)
 1643.00  1303.3QUASI(C)
 1644.00  1324.4QUASI(C)
 1645.00  1345.9QUASI(C)
 1646.00  1367.8QUASI(C)
 1647.00  1390.0QUASI(C)
 1648.00  1412.5QUASI(C)
 1649.00  1435.4QUASI(C)
 1650.00  1458.7QUASI(C)
 1651.00  1482.4QUASI(C)
 1652.00  1506.4QUASI(C)
 1653.00  1530.9QUASI(C)
 1654.00  1555.7QUASI(C)
 1655.00  1580.9QUASI(C)
 1656.00  1606.6QUASI(C)
 1657.00  1632.7QUASI(C)
 1657.01 12016.3 C I
 1658.00  1659.1QUASI(C)
 1659.00  1686.1QUASI(C)
 1660.00  1713.4QUASI(C)
 1661.00  1741.2QUASI(C)
 1662.00  1769.5QUASI(C)
 1663.00  1798.2QUASI(C)
 1664.00  1827.4QUASI(C)
 1665.00  1857.0QUASI(C)
 1666.00  1887.1QUASI(C)
 1667.00  1917.8QUASI(C)
 1668.00  1948.9QUASI(C)
 1669.00  1980.5QUASI(C)
 1670.00  2012.6QUASI(C)
 1670.76  3029.0FE II
 1670.81  3029.1AL II
 1671.00  2045.3QUASI(C)
 1672.00  2078.5QUASI(C)
 1673.00  2112.2QUASI(C)
 1674.00  2146.4QUASI(C)
 1675.00  2181.3QUASI(C)
 1676.00  2216.7QUASI(C)
 1677.00  2252.6QUASI(C)
 1678.00  2289.2QUASI(C)
 1679.00  2326.3QUASI(C)
 1680.00  2364.1QUASI(C)
 1681.00  2402.4QUASI(C)
 1682.00  2441.4QUASI(C)
 1683.00  2481.0QUASI(C)
 1684.00  2521.2QUASI(C)
 1685.00  2562.1QUASI(C)
 1686.00  2603.7QUASI(C)
 1687.00  2646.0QUASI(C)
 1688.00  2688.9QUASI(C)
 1689.00  2732.5QUASI(C)
 1690.00  2776.9QUASI(C)
 1691.00  2821.9QUASI(C)
 1692.00  2867.7QUASI(C)
 1693.00  2914.2QUASI(C)
 1694.00  2961.5QUASI(C)
 1695.00  3009.6QUASI(C)
 1696.00  3058.3QUASI(C)
 1696.80  2563.5FE II
 1697.00  3108.0QUASI(C)
 1698.00  3158.4QUASI(C)
 1699.00  3209.7QUASI(C)
 1700.00  3261.7QUASI(C)
 1701.00  3314.6QUASI(C)
 1702.00  3368.4QUASI(C)
 1703.00  3423.0QUASI(C)
 1704.00  3478.6QUASI(C)
 1705.00  3535.0QUASI(C)
 1706.00  3592.4QUASI(C)
 1707.00  3650.7QUASI(C)
 1708.00  3709.9QUASI(C)
 1709.00  3770.1QUASI(C)
 1710.00  3831.3QUASI(C)
 1711.00  3893.4QUASI(C)
 1712.00  3956.6QUASI(C)
 1713.00  4020.8QUASI(C)
 1713.01  2846.8FE II
 1714.00  4086.1QUASI(C)
 1715.00  4152.3QUASI(C)
 1716.00  4219.7QUASI(C)
 1717.00  4288.2QUASI(C)
 1718.00  4357.7QUASI(C)
 1719.00  4428.4QUASI(C)
 1720.00  4499.3QUASI(C)
 1721.00  4533.3QUASI(C)
 1722.00  4568.8QUASI(C)
 1723.00  4604.6QUASI(C)
 1724.00  4640.6QUASI(C)
 1725.00  4677.0QUASI(C)
 1726.00  4713.6QUASI(C)
 1727.00  4750.6QUASI(C)
 1728.00  4787.8QUASI(C)
 1729.00  4825.3QUASI(C)
 1730.00  4863.1QUASI(C)
 1731.00  4901.2QUASI(C)
 1732.00  4939.6QUASI(C)
 1733.00  4978.3QUASI(C)
 1734.00  5017.3QUASI(C)
 1735.00  5056.6QUASI(C)
 1736.00  5096.2QUASI(C)
 1737.00  5136.2QUASI(C)
 1738.00  5176.4QUASI(C)
 1739.00  5216.9QUASI(C)
 1740.00  5257.8QUASI(C)
 1741.00  5299.0QUASI(C)
 1742.00  5340.5QUASI(C)
 1743.00  5382.4QUASI(C)
 1744.00  5424.5QUASI(C)
 1745.00  5467.0QUASI(C)
 1745.33   483.5SI I
 1746.00  5509.9QUASI(C)
 1747.00  5553.0QUASI(C)
 1748.00  5596.5QUASI(C)
 1749.00  5640.4QUASI(C)
 1750.00  5684.6QUASI(C)
 1751.00  5729.1QUASI(C)
 1752.00  5774.0QUASI(C)
 1753.00  5819.2QUASI(C)
 1754.00  5864.8QUASI(C)
 1755.00  5910.8QUASI(C)
 1756.00  5957.1QUASI(C)
 1757.00  6003.8QUASI(C)
 1758.00  6050.8QUASI(C)
 1759.00  6098.2QUASI(C)
 1760.00  6146.0QUASI(C)
 1761.00  6194.1QUASI(C)
 1762.00  6242.7QUASI(C)
 1763.00  6291.6QUASI(C)
 1764.00  6340.9QUASI(C)
 1765.00  6390.5QUASI(C)
 1766.00  6440.6QUASI(C)
 1767.00  6491.1QUASI(C)
 1768.00  6541.9QUASI(C)
 1769.00  6593.2QUASI(C)
 1770.00  6644.8QUASI(C)
 1771.00  6696.9QUASI(C)
 1772.00  6749.3QUASI(C)
 1772.52   535.6FE II
 1773.00  6802.2QUASI(C)
 1774.00  6855.5QUASI(C)
 1775.00  6909.2QUASI(C)
 1776.00  6963.3QUASI(C)
 1777.00  7017.9QUASI(C)
 1778.00  7072.9QUASI(C)
 1779.00  7128.3QUASI(C)
 1780.00  7184.1QUASI(C)
 1781.00  7240.4QUASI(C)
 1782.00  7297.1QUASI(C)
 1783.00  7354.3QUASI(C)
 1784.00  7411.9QUASI(C)
 1785.00  7470.0QUASI(C)
 1786.00  7528.5QUASI(C)
 1787.00  7587.5QUASI(C)
 1788.00  7647.0QUASI(C)
 1789.00  7706.9QUASI(C)
 1790.00  7767.2QUASI(C)
 1791.00  7828.1QUASI(C)
