This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
   99.71     2.0UNSPEC'D  1   .830009
   99.99     2.7UNSPEC'D  1   .830009
  100.54     8.4UNSPEC'D  1   .830009
  103.01     1.5NE VIII   2   .022000
  103.15      .1NE VII    2   .012600
  103.58     6.1FE IX     2   .011509
  103.94     6.1UNSPEC'D  1   .830009
  105.23     5.1FE IX     2   .011509
  106.25     2.0NE VII    2   .012600
  108.05     1.5FE VIII   1   .415009
  109.98      .1NE VII    2   .012600
  110.56      .1NE VII    2   .012600
  110.62      .1NE VII    2   .012600
  110.76     1.5UNSPEC'D  1   .830009
  111.16      .1NE VI     1   .481009
  111.25     4.8UNSPEC'D  1   .830009
  113.80     3.0UNSPEC'D  1   .830009
  114.09     2.6UNSPEC'D  1   .830009
  114.24      .1NE VI     1   .481009
  115.39      .1NE VII    2   .012600
  115.82     2.4UNSPEC'D  1   .830009
  116.75     3.9UNSPEC'D  1   .830009
  117.20     2.6UNSPEC'D  1   .830009
  120.40      .1NE VII    2   .012600
  121.15      .1NE VI     1   .481009
  121.79     1.1UNSPEC'D  1   .830009
  122.70     4.1NE VI     1   .481009
  123.50     2.6UNSPEC'D  1   .830009
  127.65     4.5UNSPEC'D  1   .830009
  129.87     3.4 O VI     1  1.041009
  130.30      .1NE VI     1   .481009
  131.02     5.2BLEND     1   .830009
  131.21     4.8BLEND     1   .830009
  136.21      .1NE VI     1   .481009
  136.28      .1NE VI     1   .481009
  136.34      .1NE VI     1   .481009
  136.45      .1NE VI     1   .481009
  136.48      .1NE VI     1   .481009
  141.20    11.3UNSPEC'D  1   .830009
  144.27     1.1NI X      2   .012800
  145.04    14.1NI X      2   .012800
  148.40    29.4NI XI     2   .025000
  150.10     7.6 O VI     1  1.041009
  152.15    13.1NI XII    2   .070000
  154.18     6.9NI XII    2   .070000
  157.73     6.2NI XIII   2   .120000
  158.37    14.2NI X      2   .012800
  159.98    13.0NI X      2   .012800
  160.37    11.0UNSPEC'D  1   .830009
  162.00     5.5UNSPEC'D  1   .830009
  164.15     3.7NI XIV    2   .200000
  167.50    19.5FE VIII   1   .415009
  168.17    36.0FE VIII   1   .415009
  168.55    20.5FE VIII   1   .415009
  168.92    12.6FE VIII   1   .415009
  169.70    23.4UNSPEC'D  1   .830009
  171.08   307.5FE IX     2   .011509
  172.17    11.2 O V      1   .473009
  173.08    21.4BLEND     1   .830009
  174.58   268.8FE X      2   .015909
  175.26    33.1BLEND     1   .830009
  177.24   162.5FE X      2   .015909
  178.05    20.5FE XI     2   .026409
  179.27      .4NI XV     2   .300000
  179.75    20.6FE XI     2   .026409
  180.41   179.0FE XI     2   .026409
  181.14    21.2FE XI     2   .026409
  182.17    23.1FE XI     2   .026409
