This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the specific
wavelength group. -------------------- 12/15/94/dkb


     W        F    
  141.20     9.0UNSPEC'D
  144.27      .9NI X
  145.04    11.9NI X
  148.40    40.0NI XI
  150.10    19.2 O VI
  152.15    19.2NI XII
  154.18    12.8NI XII
  157.73     7.5NI XIII
  158.37    12.0NI X
  159.98    11.0NI X
  160.37     6.0UNSPEC'D
  164.15     3.2NI XIV
  167.50    19.3FE VIII
  168.17    35.6FE VIII
  168.55    20.2FE VIII
  168.92    12.4FE VIII
  169.70    18.7UNSPEC'D
  171.08   300.0FE IX
  172.17     9.6 O V
  173.08    17.1BLEND
  174.58   256.0FE X
  175.26    26.5BLEND
  177.24   136.0FE X
  178.05    18.2FE XI
  179.27      .4NI XV
  179.75    18.4FE XI
  180.41   220.0FE XI
  181.14    25.0FE XI
  182.17    66.0FE XI
  183.45    16.9CA XIV
  184.53   103.7FE X
  184.80     6.9FE XI
  185.21    44.5FE VIII B
  186.60    25.8CA XIV
  186.87    70.0 S XI   B
  187.95     1.9AR XIV
  188.31   191.0FE XI
  188.23    15.4FE XII
  190.02    48.0FE X
  191.04    19.9FE XII
  191.34    22.5FE XIII B
  192.40    64.0FE XII
  192.82    76.8FE XI
  193.52   100.0FE XII
  195.13   174.0FE XII
  196.52    45.3FE XIII
  196.65     9.9FE XII
  197.44    18.2FE XIII
  198.58    23.3FE XII  B
  200.02    37.9FE XIII
  201.13    66.0FE XIII B
  202.05    96.0FE XIII
  202.64    20.7BLEND
  203.81    39.0FE XIII
  204.25    15.0FE XIII
  204.94     9.9FE XIII
  206.26      .9UNSPEC'D
  206.38      .9UNSPEC'D
  207.46      .9UNSPEC'D
  208.33     1.9 S X    B
  209.63     1.9FE XIII
  209.78      .9UNSPEC'D
  211.32    54.0FE XIV
  212.14    11.8 S XII
  213.78     9.9FEXIII
  214.75     7.6SI VIII
  215.16    21.7 S XII
  216.88    32.8SI VIII B
  217.00    51.0UNSPEC'D
  218.19    65.0 S XII
  219.13    12.0FE XIV
  220.08    17.0FE XIV
  221.44    20.1 S XII
  221.82     1.9FE XIII
  224.74    37.4 S IX   B
  225.12    51.0BLEND
  227.01    90.3SI IX
  227.19     1.9FE XV
  227.47    29.8 S XII
  228.70    18.4 S X
  230.65    10.5HE II
  231.55    12.8HE II
  232.60    18.7HE II
  233.84    10.0FE XV
  234.38    82.6BLEND
  237.33    55.0HE II
  239.87    16.9 S XI
  240.71    54.0FE XIII
  241.74   138.0FE IX
  243.03    98.0HE II
  243.86    50.0UNSPEC'D
  244.92    67.5FE IX
  245.94    14.9BLEND
  246.24    50.0BLEND
  246.91    18.7BLEND
  247.18    19.9BLEND
  249.18    20.2NI XVII
  251.10     9.6FE XVI
  251.95    73.0FE XIII
  252.19    35.0FE XIV
  253.78    29.0SI X
  256.32   400.0HE II
  256.38    60.0SI X
  256.64    30.0 S XIII
  257.16   200.0 S X    B
  257.39   200.0FE XIV  B
  258.36   140.0SI X
  259.52    56.0 S X
  261.05    62.0SI X
  262.99    10.0FE XVI
  264.24    68.0 S X
  264.80    64.0FE XIV
  270.51    30.0FE XIV
  271.99    60.0SI X
  272.64    25.0SI VII
  274.19    90.0FE XIV
  275.35    30.0SI VII
  275.67    25.0SI VII
  276.15     5.6MG VII
  276.84    10.0BLEND
  277.00    40.0BLEND
  277.27    60.0BLEND
  278.40    50.0MG VII  B
  281.41    15.0 S XI
  284.15   210.0FE XV
  285.70    24.0 S XI   G
  289.17    13.0FE XIV
  290.69    40.0SI IX
  291.70    18.0 S XI   G
  292.78    63.4SI IX
  296.19    94.0SI IX
  299.50     9.8 S XII
  303.31   800.0SI XI
  303.78  6900.0HE II
  315.02   120.0MG VIII
  319.01    25.0NI XV
  320.56    20.0NI XVIIIB
  316.20   100.0SI VIII
  319.83   130.0SI VIII
  335.41   140.0FE XVI
  345.13   100.0SI IX
  345.74    80.0FE X
  347.39   150.0SI X
  349.85   100.0SI IX
  356.01   110.0SI X
  360.80    70.0FE XVI
  364.48   120.0FE XII
  368.07   650.0MG IX
  399.82    14.0NE VI
  401.14    31.0NE VI
  401.94    82.0NE VI
  403.26    48.0NE VI
  405.00      .0HE I (C)
  406.00      .0HE I (C)
  407.00      .0HE I (C)
  408.00      .0HE I (C)
  409.00      .0HE I (C)
  410.00      .0HE I (C)
  411.00      .0HE I (C)
  412.00      .0HE I (C)
  413.00      .0HE I (C)
  414.00      .0HE I (C)
  415.00      .0HE I (C)
  416.00      .0HE I (C)
  417.00      .0HE I (C)
  417.24    27.0FE XV
  418.00      .0HE I (C)
  419.00      .0HE I (C)
  420.00      .0HE I (C)
  421.00      .0HE I (C)
  422.00      .0HE I (C)
  423.00      .3HE I (C)
  424.00      .3HE I (C)
  425.00      .3HE I (C)
  426.00      .3HE I (C)
  427.00      .3HE I (C)
  428.00      .3HE I (C)
  429.00      .3HE I (C)
  430.00      .3HE I (C)
  430.47    74.0MG VIII
  431.00      .3HE I (C)
  432.00      .3HE I (C)
  433.00      .3HE I (C)
  434.00      .3HE I (C)
  435.00      .3HE I (C)
  436.00      .3HE I (C)
  436.70   110.0MG  VIII
  437.00      .3HE I (C)
  438.00      .3HE I (C)
  439.00      .3HE I (C)
  440.00      .3HE I (C)
  441.00      .3HE I (C)
  442.00      .3HE I (C)
  443.00      .3HE I (C)
  444.00      .7HE I (C)
  445.00      .7HE I (C)
  446.00      .7HE I (C)
  447.00      .7HE I (C)
  448.00      .7HE I (C)
  449.00      .7HE I (C)
  450.00      .7HE I (C)
  451.00      .7HE I (C)
  452.00      .7HE I (C)
  453.00     1.0HE I (C)
  454.00     1.0HE I (C)
  455.00     1.0HE I (C)
  456.00     1.0HE I (C)
  457.00     1.0HE I (C)
  458.00     1.0HE I (C)
  459.00     1.0HE I (C)
  460.00     1.3HE I (C)
  461.00     1.3HE I (C)
  462.00     1.3HE I (C)
  463.00     1.3HE I (C)
  464.00     1.3HE I (C)
  465.00     1.6HE I (C)
  465.22   290.0NE VII
  466.00     1.6HE I (C)
  467.00     1.6HE I (C)
  468.00     2.0HE I (C)
  469.00     2.0HE I (C)
  470.00     2.0HE I (C)
  471.00     2.0HE I (C)
  472.00     2.3HE I (C)
  473.00     2.3HE I (C)
  474.00     2.6HE I (C)
  475.00     2.6HE I (C)
  476.00     2.6HE I (C)
  477.00     3.0HE I (C)
  478.00     3.0HE I (C)
  479.00     3.3HE I (C)
  480.00     3.3HE I (C)
  481.00     3.6HE I (C)
  482.00     3.6HE I (C)
  483.00     4.0HE I (C)
  484.00     4.3HE I (C)
  485.00     4.3HE I (C)
  486.00     4.6HE I (C)
  487.00     4.9HE I (C)
  488.00     5.3HE I (C)
  489.00     5.3HE I (C)
  489.50    10.0NE III
  490.00     5.6HE I (C)
  491.00     5.9HE I (C)
  492.00     6.3HE I (C)
  493.00     6.6HE I (C)
  494.00     6.9HE I (C)
  495.00     7.6HE I (C)
  496.00     7.9HE I (C)
  497.00     8.3HE I (C)
  498.00     8.6HE I (C)
  499.00     9.2HE I (C)
  499.37   100.0SI XII
  500.00     9.6HE I (C)
  501.00    10.2HE I (C)
  502.00    10.6HE I (C)
  503.00    11.2HE I (C)
  504.00    11.9HE I (C)
  507.93   110.0 O III  G
  515.60    25.0HE I
  520.66    46.0SI XII
  525.80    65.0 O III
  537.02   120.0HE I
  554.37   720.0 O IV   G
  558.60    45.0NE VI
  562.80    70.0NE VI
  584.33  1270.0HE I
  599.60   140.0 O III
  608.00      .1 H LY(C)
  609.00      .1 H LY(C)
  609.76   530.0MG X
  610.00      .1 H LY(C)
  611.00      .1 H LY(C)
  612.00      .1 H LY(C)
  613.00      .1 H LY(C)
  614.00      .1 H LY(C)
  615.00      .1 H LY(C)
  616.00      .1 H LY(C)
  616.60    15.7 O II
  617.00      .1 H LY(C)
  618.00      .1 H LY(C)
  619.00      .1 H LY(C)
  620.00      .1 H LY(C)
  621.00      .1 H LY(C)
  622.00      .1 H LY(C)
  623.00      .1 H LY(C)
  624.00      .2 H LY(C)
  624.93   240.0MG X
  625.00      .2 H LY(C)
  626.00      .2 H LY(C)
  627.00      .2 H LY(C)
  628.00      .2 H LY(C)
  629.00      .2 H LY(C)
  629.73  1590.0 O V
  630.00      .2 H LY(C)
  631.00      .1 H LY(C)
  632.00      .1 H LY(C)
  633.00      .1 H LY(C)
  634.00      .1 H LY(C)
  635.00      .1 H LY(C)
  636.00      .1 H LY(C)
  637.00      .1 H LY(C)
  638.00      .1 H LY(C)
  639.00      .1 H LY(C)
  640.00      .1 H LY(C)
  640.41    10.9 S II
  640.93    12.9 S II
  641.00      .1 H LY(C)
  641.81    16.9 S II
  642.00      .1 H LY(C)
  643.00      .1 H LY(C)
  644.00      .2 H LY(C)
  645.00      .2 H LY(C)
  646.00      .2 H LY(C)
  647.00      .2 H LY(C)
  648.00      .2 H LY(C)
  649.00      .2 H LY(C)
  650.00      .2 H LY(C)
  651.00      .2 H LY(C)
  652.00      .2 H LY(C)
  653.00      .2 H LY(C)
  654.00      .2 H LY(C)
  655.00      .2 H LY(C)
  656.00      .2 H LY(C)
  657.00      .3 H LY(C)
  657.30    11.0 S IV
  658.00      .3 H LY(C)
  659.00      .3 H LY(C)
  660.00      .3 H LY(C)
  661.00      .3 H LY(C)
  661.40    11.0 S IV
  662.00      .3 H LY(C)
  663.00      .3 H LY(C)
  664.00      .3 H LY(C)
  665.00      .3 H LY(C)
  666.00      .3 H LY(C)
  667.00      .4 H LY(C)
  668.00      .4 H LY(C)
  669.00      .4 H LY(C)
  670.00      .4 H LY(C)
  671.00      .4 H LY(C)
  672.00      .4 H LY(C)
  673.00      .4 H LY(C)
  674.00      .4 H LY(C)
  675.00      .5 H LY(C)
  676.00      .5 H LY(C)
  677.00      .5 H LY(C)
  678.00      .5 H LY(C)
  679.00      .5 H LY(C)
  680.00      .5 H LY(C)
  681.00      .5 H LY(C)
  682.00      .5 H LY(C)
  683.00      .5 H LY(C)
  684.00      .5 H LY(C)
  685.00      .5 H LY(C)
  685.71    90.0 N III  G
  686.00      .5 H LY(C)
  687.00      .6 H LY(C)
  688.00      .6 H LY(C)
  689.00      .6 H LY(C)
  690.00      .6 H LY(C)
  691.00      .6 H LY(C)
  692.00      .7 H LY(C)
  693.00      .7 H LY(C)
  694.00      .7 H LY(C)
  695.00      .7 H LY(C)
  696.00      .7 H LY(C)
  697.00      .7 H LY(C)
  698.00      .7 H LY(C)
  699.00      .7 H LY(C)
  700.00      .8 H LY(C)
  701.00      .8 H LY(C)
  702.00      .8 H LY(C)
  703.00      .9 H LY(C)
  703.36   360.0 O III  G
  704.00      .9 H LY(C)
  705.00      .9 H LY(C)
  706.00      .9 H LY(C)
  707.00      .9 H LY(C)
  708.00      .9 H LY(C)
  709.00      .9 H LY(C)
  710.00     1.0 H LY(C)
  711.00     1.0 H LY(C)
  712.00     1.0 H LY(C)
  713.00     1.1 H LY(C)
  714.00     1.1 H LY(C)
  715.00     1.2 H LY(C)
  716.00     1.2 H LY(C)
  717.00     1.2 H LY(C)
  718.00     1.3 H LY(C)
  718.50    50.0 O II
  719.00     1.3 H LY(C)
  720.00     1.3 H LY(C)
  721.00     1.3 H LY(C)
  722.00     1.4 H LY(C)
  723.00     1.4 H LY(C)
  724.00     1.5 H LY(C)
  725.00     1.5 H LY(C)
  726.00     1.5 H LY(C)
  727.00     1.5 H LY(C)
  728.00     1.6 H LY(C)
  729.00     1.6 H LY(C)
  730.00     1.7 H LY(C)
  731.00     1.7 H LY(C)
  732.00     1.7 H LY(C)
  733.00     1.9 H LY(C)
  734.00     1.9 H LY(C)
  735.00     1.9 H LY(C)
  736.00     2.0 H LY(C)
  737.00     2.0 H LY(C)
  738.00     2.1 H LY(C)
  739.00     2.1 H LY(C)
  740.00     2.1 H LY(C)
  741.00     2.2 H LY(C)
  742.00     2.3 H LY(C)
  743.00     2.3 H LY(C)
  744.00     2.4 H LY(C)
  745.00     2.4 H LY(C)
  746.00     2.5 H LY(C)
  747.00     2.6 H LY(C)
  748.00     2.7 H LY(C)
  749.00     2.7 H LY(C)
  750.00     2.8 H LY(C)
  751.00     2.9 H LY(C)
  752.00     2.9 H LY(C)
  753.00     3.0 H LY(C)
  754.00     3.1 H LY(C)
  755.00     3.1 H LY(C)
  756.00     3.2 H LY(C)
  757.00     3.3 H LY(C)
  758.00     3.4 H LY(C)
  758.68    30.0 O V
  759.00     3.6 H LY(C)
  759.44    23.0 O V
  760.00     3.6 H LY(C)
  760.30    80.0 O V
  761.00     3.7 H LY(C)
  761.13    20.0 O V
  762.00     3.8 H LY(C)
  762.00    30.0 O V
  763.00     3.9 H LY(C)
  764.00     4.0 H LY(C)
  765.00     4.1 H LY(C)
  765.15   170.0 N IV
  766.00     4.2 H LY(C)
  767.00     4.3 H LY(C)
  768.00     4.4 H LY(C)
  769.00     4.5 H LY(C)
  770.00     4.6 H LY(C)
  770.41   260.0NE VIII
  771.00     4.8 H LY(C)
  772.00     4.9 H LY(C)
  773.00     5.0 H LY(C)
  774.00     5.2 H LY(C)
  775.00     5.2 H LY(C)
  776.00    11.0 N II
  776.00     5.4 H LY(C)
  777.00     5.6 H LY(C)
  778.00     5.7 H LY(C)
  779.00     5.8 H LY(C)
  780.00     6.0 H LY(C)
  780.32   140.0NE VIII
  781.00     6.1 H LY(C)
  782.00     6.3 H LY(C)
  783.00     6.4 H LY(C)
  784.00     6.6 H LY(C)
  785.00     6.8 H LY(C)
  786.00     6.9 H LY(C)
  786.47   130.0 S V
  787.00     7.2 H LY(C)
  787.71   250.0 O IV
  788.00     7.3 H LY(C)
  789.00     7.5 H LY(C)
  790.00     7.6 H LY(C)
  790.15   430.0 O IV   G
  791.00     7.9 H LY(C)
  792.00     8.1 H LY(C)
  793.00     8.2 H LY(C)
  794.00     8.5 H LY(C)
  795.00     8.7 H LY(C)
  796.00     8.9 H LY(C)
  797.00     9.1 H LY(C)
  798.00     9.4 H LY(C)
  799.00     9.6 H LY(C)
  800.00     9.8 H LY(C)
  801.00    10.2 H LY(C)
  802.00    10.4 H LY(C)
  803.00    10.7 H LY(C)
  804.00    11.0 H LY(C)
  805.00    11.2 H LY(C)
  806.00    11.5 H LY(C)
  807.00    11.8 H LY(C)
  808.00    12.1 H LY(C)
  809.00    12.4 H LY(C)
  810.00    12.7 H LY(C)
  811.00    13.1 H LY(C)
  812.00    13.4 H LY(C)
  813.00    13.7 H LY(C)
  814.00    14.1 H LY(C)
  815.00    14.5 H LY(C)
  816.00    14.8 H LY(C)
  817.00    15.2 H LY(C)
  818.00    15.5 H LY(C)
  819.00    16.0 H LY(C)
  820.00    16.3 H LY(C)
  821.00    16.8 H LY(C)
  822.00    17.2 H LY(C)
  823.00    17.7 H LY(C)
  824.00    18.2 H LY(C)
  825.00    18.6 H LY(C)
  826.00    19.1 H LY(C)
  827.00    19.6 H LY(C)
  828.00    20.0 H LY(C)
  829.00    20.6 H LY(C)
  830.00    21.1 H LY(C)
  831.00    21.6 H LY(C)
  832.00    22.2 H LY(C)
  833.00    22.8 H LY(C)
  834.00    23.3 H LY(C)
  834.20   620.0 OII,IIIG
  835.00    24.0 H LY(C)
  836.00    24.5 H LY(C)
  837.00    25.1 H LY(C)
  838.00    25.8 H LY(C)
  839.00    26.5 H LY(C)
  840.00    27.1 H LY(C)
  841.00    27.9 H LY(C)
  842.00    28.5 H LY(C)
  843.00    29.3 H LY(C)
  844.00    30.0 H LY(C)
  845.00    30.8 H LY(C)
  846.00    31.6 H LY(C)
  847.00    32.4 H LY(C)
  848.00    33.2 H LY(C)
  849.00    34.0 H LY(C)
  850.00    34.9 H LY(C)
  851.00    35.8 H LY(C)
  852.00    36.7 H LY(C)
  853.00    37.7 H LY(C)
  854.00    38.6 H LY(C)
  855.00    39.6 H LY(C)
  856.00    40.6 H LY(C)
  857.00    41.7 H LY(C)
  858.00    42.7 H LY(C)
  859.00    43.8 H LY(C)
  860.00    44.9 H LY(C)
  861.00    46.1 H LY(C)
  862.00    47.2 H LY(C)
  863.00    48.4 H LY(C)
  864.00    49.6 H LY(C)
  865.00    50.9 H LY(C)
  866.00    52.2 H LY(C)
  867.00    53.5 H LY(C)
  868.00    54.9 H LY(C)
  869.00    56.3 H LY(C)
  870.00    57.7 H LY(C)
  871.00    59.2 H LY(C)
  872.00    60.7 H LY(C)
  873.00    62.3 H LY(C)
  874.00    63.9 H LY(C)
  875.00    65.5 H LY(C)
  876.00    67.1 H LY(C)
  877.00    68.8 H LY(C)
  878.00    70.6 H LY(C)
  879.00    72.4 H LY(C)
  880.00    74.2 H LY(C)
  881.00    76.1 H LY(C)
  882.00    78.1 H LY(C)
  883.00    80.1 H LY(C)
  884.00    82.1 H LY(C)
  885.00    84.2 H LY(C)
  886.00    86.3 H LY(C)
  887.00    88.5 H LY(C)
  888.00    90.8 H LY(C)
  889.00    93.1 H LY(C)
  890.00    95.5 H LY(C)
  891.00    97.9 H LY(C)
  892.00   100.4 H LY(C)
  893.00   102.9 H LY(C)
  894.00   105.5 H LY(C)
  895.00   108.2 H LY(C)
  896.00   111.0 H LY(C)
  897.00   113.8 H LY(C)
  898.00   116.6 H LY(C)
  899.00   119.6 H LY(C)
  900.00   122.7 H LY(C)
  901.00   125.8 H LY(C)
  902.00   129.0 H LY(C)
  903.00   132.3 H LY(C)
  904.00   135.7 H LY(C)
  904.10   110.0 C II   G
  905.00   139.1 H LY(C)
  906.00   142.6 H LY(C)
  907.00   146.3 H LY(C)
  908.00   150.0 H LY(C)
  909.00   153.8 H LY(C)
  910.00   157.7 H LY(C)
  911.00   161.7 H LY(C)
  912.00   165.8 H LY(C)
  913.00     2.3 C I (C)
  914.00     2.3 C I (C)
  915.00     2.3 C I (C)
  916.00     2.4 C I (C)
  917.00     2.4 C I (C)
  918.00     2.5 C I (C)
  919.00     2.5 C I (C)
  920.00     2.6 C I (C)
  920.96    56.0 H LY-9
  921.00     2.6 C I (C)
  922.00     2.6 C I (C)
  923.00     2.8 C I (C)
  923.15    80.0 H LY-8 B
  924.00     2.8 C I (C)
  925.00     2.9 C I (C)
  926.00     2.9 C I (C)
  926.20   110.0 H LY-7
  927.00     3.0 C I (C)
  928.00     3.0 C I (C)
  929.00     3.1 C I (C)
  930.00     3.1 C I (C)
  930.75   130.0 H LY-6 B
  931.00     3.2 C I (C)
  932.00     3.2 C I (C)
  933.00     3.3 C I (C)
  933.38   103.0 S VI
  934.00     3.3 C I (C)
  935.00     3.4 C I (C)
  936.00     3.4 C I (C)
  937.00     3.5 C I (C)
  937.80   180.0 H LY-5
  938.00     3.6 C I (C)
  939.00     3.6 C I (C)
  940.00     3.7 C I (C)
  941.00     3.7 C I (C)
  942.00     3.9 C I (C)
  943.00     4.0 C I (C)
  944.00     4.0 C I (C)
  944.52    68.0 S VI
  945.00     4.1 C I (C)
  946.00     4.2 C I (C)
  947.00     4.2 C I (C)
  948.00     4.3 C I (C)
  949.00     4.4 C I (C)
  949.74   300.0 H LY-4
  950.00     4.4 C I (C)
  951.00     4.5 C I (C)
  952.00     4.6 C I (C)
  953.00     4.7 C I (C)
  954.00     4.7 C I (C)
  955.00     4.8 C I (C)
  956.00     5.0 C I (C)
  957.00     5.1 C I (C)
  958.00     5.2 C I (C)
  959.00     5.3 C I (C)
  960.00     5.3 C I (C)
  961.00     5.4 C I (C)
  962.00     5.5 C I (C)
  963.00     5.6 C I (C)
  964.00     5.7 C I (C)
  965.00     5.8 C I (C)
  966.00     5.9 C I (C)
  967.00     6.1 C I (C)
  968.00     6.2 C I (C)
  969.00     6.3 C I (C)
  970.00     6.4 C I (C)
  971.00     6.5 C I (C)
  972.00     6.6 C I (C)
  972.54   600.0 H LY-3
  973.00     6.7 C I (C)
  974.00     6.8 C I (C)
  975.00     7.0 C I (C)
  976.00     7.2 C I (C)
  977.00     7.3 C I (C)
  977.02  4400.0 C III
  978.00     7.4 C I (C)
  979.00     7.5 C I (C)
  980.00     7.7 C I (C)
  981.00     7.8 C I (C)
  982.00     7.9 C I (C)
  983.00     8.0 C I (C)
  984.00     8.3 C I (C)
  985.00     8.4 C I (C)
  986.00     8.5 C I (C)
  987.00     8.7 C I (C)
  988.00     8.8 C I (C)
  989.00     9.0 C I (C)
  989.79   170.0 N III
  990.00     9.1 C I (C)
  991.00     9.4 C I (C)
  991.55   340.0 N III
  992.00     9.5 C I (C)
  993.00     9.7 C I (C)
  994.00     9.8 C I (C)
  995.00    10.0 C I (C)
  996.00    10.2 C I (C)
  997.00    10.3 C I (C)
  998.00    10.6 C I (C)
  999.00    10.8 C I (C)
 1000.00    11.0 C I (C)
 1001.00    11.1 C I (C)
 1002.00    11.3 C I (C)
 1003.00    11.6 C I (C)
 1004.00    11.8 C I (C)
 1005.00    12.0 C I (C)
 1006.00    12.2 C I (C)
 1007.00    12.4 C I (C)
 1008.00    12.7 C I (C)
 1009.00    12.9 C I (C)
 1010.00    13.1 C I (C)
 1010.20    80.0 C II
 1011.00    13.3 C I (C)
 1012.00    13.6 C I (C)
 1013.00    13.9 C I (C)
 1014.00    14.1 C I (C)
 1015.00    14.4 C I (C)
 1016.00    14.6 C I (C)
 1017.00    14.9 C I (C)
 1018.00    15.2 C I (C)
 1019.00    15.4 C I (C)
 1020.00    15.7 C I (C)
 1021.00    16.0 C I (C)
 1022.00    16.3 C I (C)
 1023.00    16.6 C I (C)
 1024.00    16.8 C I (C)
 1025.00    17.2 C I (C)
 1025.72  3500.0 H LY-2
 1026.00    17.5 C I (C)
 1027.00    17.8 C I (C)
